V2,V81,V84,V297,V417,V420,V497,V601,V713,V721,V86,V103,V104,V370,V6,V868,V7,V172,V279,V229,V230,V231,V232,V233,V234,V235,V236,V237,V238,V239,V610
11,MAENNLICH,66,VERHEIRAT.ZUSAM.LEB.,NA,1000 - 1124 EURO,1400,KEINER RELIGIONSGEM.,FRUEHER ERWERBSTAETIG,IM RUHESTAND,"VOLKS-,HAUPTSCHULE",NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,NIEDERSACHSEN,ALTE BUNDESLAENDER,ARBEITERSCHICHT,27.08,MANCHMAL,NIE,IMMER,MANCHMAL,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_8
12,WEIBLICH,45,VERHEIRAT.ZUSAM.LEB.,2500,2500 - 2749 EURO,3226,ROEMISCH-KATHOLISCH,ERWERBSTAETIG,ERWERBSTAETIG,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,SONST.SELBSTAENDIGE,DEUTSCHLAND,JA,SACHSEN-ANHALT,NEUE BUNDESLAENDER,OBERE MITTELSCHICHT,19.84,OFT,MANCHMAL,MANCHMAL,MANCHMAL,NIE,NIE,NIE,FAST NIE,FAST NIE,FAST NIE,NIE,.._duplicated_9
13,WEIBLICH,51,GESCHIEDEN,750,750 - 874 EURO,NA,EVANG.OHNE FREIKIRCH,NA,NA,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,SONST.SELBSTAENDIGE,DEUTSCHLAND,JA,SACHSEN,NEUE BUNDESLAENDER,MITTELSCHICHT,20.58,IMMER,MANCHMAL,FAST NIE,MANCHMAL,NIE,OFT,FAST NIE,NIE,FAST NIE,NIE,FAST NIE,.._duplicated_7
14,WEIBLICH,58,VERHEIRAT.ZUSAM.LEB.,1850,1750 - 1999 EURO,2000,KEINER RELIGIONSGEM.,ERWERBSTAETIG,ERWERBSTAETIG,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,NORDRHEIN-WESTFALEN,ALTE BUNDESLAENDER,MITTELSCHICHT,28.69,MANCHMAL,NIE,OFT,MANCHMAL,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_7
15,WEIBLICH,49,VERHEIRAT.ZUSAM.LEB.,342,300 - 399 EURO,2050,ROEMISCH-KATHOLISCH,ERWERBSTAETIG,ERWERBSTAETIG,"VOLKS-,HAUPTSCHULE",NEBENHER BERUFSTAE.,NA,DEUTSCHLAND,JA,BAYERN,ALTE BUNDESLAENDER,MITTELSCHICHT,24.01,MANCHMAL,NIE,OFT,FAST NIE,MANCHMAL,NIE,IMMER,OFT,NIE,NIE,MANCHMAL,.._duplicated_9
16,MAENNLICH,64,VERHEIRAT.ZUSAM.LEB.,NA,2750 - 2999 EURO,5833,KEINER RELIGIONSGEM.,NA,NA,HOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,SACHSEN-ANHALT,NEUE BUNDESLAENDER,MITTELSCHICHT,27.4,OFT,MANCHMAL,MANCHMAL,MANCHMAL,NIE,NIE,OFT,OFT,MANCHMAL,MANCHMAL,FAST NIE,.._duplicated_9
17,WEIBLICH,75,GESCHIEDEN,1300,1250 - 1374 EURO,1300,EVANG.OHNE FREIKIRCH,FRUEHER ERWERBSTAETIG,IM RUHESTAND,"VOLKS-,HAUPTSCHULE",NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,BADEN-WUERTTEMBERG,ALTE BUNDESLAENDER,MITTELSCHICHT,24.97,FAST NIE,OFT,MANCHMAL,NIE,MANCHMAL,MANCHMAL,NIE,NIE,OFT,OFT,OFT,.._duplicated_8
18,MAENNLICH,60,VERHEIRAT.ZUSAM.LEB.,NA,1125 - 1249 EURO,1583,KEINER RELIGIONSGEM.,ERWERBSTAETIG,ERWERBSTAETIG,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,ARBEITER,DEUTSCHLAND,JA,BRANDENBURG,NEUE BUNDESLAENDER,ARBEITERSCHICHT,34.29,NIE,NIE,OFT,IMMER,MANCHMAL,FAST NIE,IMMER,IMMER,NIE,NIE,NIE,.._duplicated_8
19,WEIBLICH,25,LEDIG,1000,1000 - 1124 EURO,1000,EVANG.OHNE FREIKIRCH,NA,NA,FACHHOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,EHEM. BERLIN-OST,NEUE BUNDESLAENDER,ARBEITERSCHICHT,22.66,IMMER,FAST NIE,OFT,OFT,FAST NIE,NIE,FAST NIE,FAST NIE,FAST NIE,FAST NIE,FAST NIE,.._duplicated_7
20,WEIBLICH,68,VERHEIRAT.ZUSAM.LEB.,1300,1250 - 1374 EURO,1733,KEINER RELIGIONSGEM.,NA,NA,MITTLERE REIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,EHEM. BERLIN-OST,NEUE BUNDESLAENDER,MITTELSCHICHT,23.23,MANCHMAL,FAST NIE,MANCHMAL,MANCHMAL,FAST NIE,NIE,OFT,FAST NIE,NIE,FAST NIE,NIE,.._duplicated_5
21,MAENNLICH,59,VERHEIRAT.ZUSAM.LEB.,1200,1125 - 1249 EURO,867,KEINER RELIGIONSGEM.,ERWERBSTAETIG,ERWERBSTAETIG,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,ARBEITER,DEUTSCHLAND,JA,SACHSEN-ANHALT,NEUE BUNDESLAENDER,ARBEITERSCHICHT,25.9,NIE,NIE,IMMER,MANCHMAL,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_6
22,WEIBLICH,72,VERHEIRAT.ZUSAM.LEB.,1700,1500 - 1749 EURO,1750,ROEMISCH-KATHOLISCH,NA,NA,MITTLERE REIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,NORDRHEIN-WESTFALEN,ALTE BUNDESLAENDER,MITTELSCHICHT,20.44,MANCHMAL,MANCHMAL,OFT,OFT,NIE,NIE,FAST NIE,NIE,NIE,NIE,NIE,.._duplicated_9
23,MAENNLICH,73,VERHEIRAT.ZUSAM.LEB.,2500,2500 - 2749 EURO,1667,ROEMISCH-KATHOLISCH,FRUEHER ERWERBSTAETIG,ERWERBSUNFAEHIG,FACHHOCHSCHULREIFE,NICHT ERWERBSTAETIG,NA,USA,NEIN,SCHLESWIG-HOLSTEIN,ALTE BUNDESLAENDER,MITTELSCHICHT,29.76,FAST NIE,MANCHMAL,OFT,MANCHMAL,OFT,NIE,MANCHMAL,NIE,NIE,NIE,NIE,GANZ ZUFRIEDEN
24,WEIBLICH,46,LEDIG,649,625 - 749 EURO,649,KEINER RELIGIONSGEM.,NA,NA,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,SACHSEN-ANHALT,NEUE BUNDESLAENDER,MITTELSCHICHT,20.96,MANCHMAL,MANCHMAL,MANCHMAL,FAST NIE,FAST NIE,MANCHMAL,FAST NIE,NIE,NIE,NIE,NIE,.._duplicated_5
25,WEIBLICH,48,VERHEIRAT.ZUSAM.LEB.,2500,2500 - 2749 EURO,2667,KEINER RELIGIONSGEM.,NA,NA,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,SACHSEN-ANHALT,NEUE BUNDESLAENDER,MITTELSCHICHT,21.55,OFT,MANCHMAL,MANCHMAL,OFT,NIE,NIE,FAST NIE,NIE,MANCHMAL,MANCHMAL,FAST NIE,.._duplicated_7
26,MAENNLICH,72,VERHEIRAT.ZUSAM.LEB.,1200,1125 - 1249 EURO,1333,EVANG.FREIKIRCHE,FRUEHER ERWERBSTAETIG,IM RUHESTAND,FACHHOCHSCHULREIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,SACHSEN,NEUE BUNDESLAENDER,MITTELSCHICHT,25.5,FAST NIE,MANCHMAL,OFT,MANCHMAL,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_7
27,MAENNLICH,33,LEDIG,1100,1000 - 1124 EURO,1000,EVANG.OHNE FREIKIRCH,ERWERBSTAETIG,ERWERBSTAETIG,FACHHOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,SACHSEN,NEUE BUNDESLAENDER,MITTELSCHICHT,25.99,IMMER,MANCHMAL,FAST NIE,OFT,NIE,FAST NIE,NIE,NIE,FAST NIE,FAST NIE,FAST NIE,.._duplicated_4
28,MAENNLICH,71,VERHEIRAT.ZUSAM.LEB.,2000,2000 - 2249 EURO,1833,KEINER RELIGIONSGEM.,NA,NA,MITTLERE REIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,SACHSEN-ANHALT,NEUE BUNDESLAENDER,MITTELSCHICHT,28.4,NIE,FAST NIE,OFT,FAST NIE,NIE,NIE,OFT,OFT,NIE,NIE,MANCHMAL,GANZ ZUFRIEDEN
29,MAENNLICH,43,VERHEIRAT.ZUSAM.LEB.,3000,3000 - 3999 EURO,3667,KEINER RELIGIONSGEM.,ERWERBSTAETIG,ERWERBSTAETIG,HOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,BRANDENBURG,NEUE BUNDESLAENDER,MITTELSCHICHT,28.41,MANCHMAL,FAST NIE,OFT,MANCHMAL,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_8
30,WEIBLICH,48,VERHEIRAT.ZUSAM.LEB.,NA,5000 - 7499 EURO,3472,KEINER RELIGIONSGEM.,NA,NA,HOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,BADEN-WUERTTEMBERG,ALTE BUNDESLAENDER,OBERE MITTELSCHICHT,34.2,OFT,MANCHMAL,OFT,MANCHMAL,FAST NIE,NIE,FAST NIE,NIE,FAST NIE,NIE,MANCHMAL,.._duplicated_8
31,MAENNLICH,32,VERHEIRAT.ZUSAM.LEB.,1850,1750 - 1999 EURO,1233,EVANG.OHNE FREIKIRCH,ERWERBSTAETIG,ERWERBSTAETIG,FACHHOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,NIEDERSACHSEN,ALTE BUNDESLAENDER,MITTELSCHICHT,25.76,FAST NIE,NIE,IMMER,OFT,NIE,NIE,NIE,NIE,NIE,NIE,NIE,GANZ ZUFRIEDEN
32,WEIBLICH,47,VERHEIRAT.ZUSAM.LEB.,1600,1500 - 1749 EURO,1650,KEINER RELIGIONSGEM.,NA,NA,FACHHOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,SACHSEN,NEUE BUNDESLAENDER,MITTELSCHICHT,23.18,FAST NIE,MANCHMAL,OFT,OFT,NIE,NIE,NIE,FAST NIE,NIE,NIE,NIE,.._duplicated_8
33,MAENNLICH,38,VERHEIRAT.ZUSAM.LEB.,1700,1500 - 1749 EURO,680,AND.NICHT-CHRISTLICH,NA,NA,"VOLKS-,HAUPTSCHULE",HAUPTBERUFL.GANZTAGS,ARBEITER,DEUTSCHLAND,JA,BADEN-WUERTTEMBERG,ALTE BUNDESLAENDER,ARBEITERSCHICHT,31.22,FAST NIE,MANCHMAL,OFT,MANCHMAL,MANCHMAL,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_8
34,MAENNLICH,74,VERHEIRAT.ZUSAM.LEB.,NA,3000 - 3999 EURO,3000,KEINER RELIGIONSGEM.,NA,NA,HOCHSCHULREIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,HESSEN,ALTE BUNDESLAENDER,OBERSCHICHT,20.31,FAST NIE,MANCHMAL,OFT,OFT,NIE,MANCHMAL,OFT,OFT,MANCHMAL,MANCHMAL,OFT,GANZ ZUFRIEDEN
35,MAENNLICH,48,VERHEIRAT.ZUSAM.LEB.,NA,7500 EURO UND MEHR,4375,EVANG.OHNE FREIKIRCH,ERWERBSTAETIG,ERWERBSTAETIG,HOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,HESSEN,ALTE BUNDESLAENDER,OBERE MITTELSCHICHT,24.25,FAST NIE,NIE,OFT,OFT,NIE,NIE,FAST NIE,FAST NIE,NIE,NIE,NIE,.._duplicated_8
36,MAENNLICH,36,LEDIG,2000,2000 - 2249 EURO,1667,ROEMISCH-KATHOLISCH,ERWERBSTAETIG,ERWERBSTAETIG,"VOLKS-,HAUPTSCHULE",HAUPTBERUFL.GANZTAGS,ARBEITER,DEUTSCHLAND,"JA, UND ANDERE",BAYERN,ALTE BUNDESLAENDER,ARBEITERSCHICHT,34.69,MANCHMAL,MANCHMAL,FAST NIE,MANCHMAL,FAST NIE,NIE,FAST NIE,FAST NIE,NIE,NIE,FAST NIE,.._duplicated_8
37,MAENNLICH,54,VERHEIRAT.ZUSAM.LEB.,NA,NA,NA,KEINER RELIGIONSGEM.,NA,NA,MITTLERE REIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,BRANDENBURG,NEUE BUNDESLAENDER,MITTELSCHICHT,29.05,FAST NIE,NIE,OFT,OFT,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_8
38,MAENNLICH,51,VERHEIRAT.ZUSAM.LEB.,NA,1750 - 1999 EURO,NA,EVANG.OHNE FREIKIRCH,NA,NA,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,ARBEITER,DEUTSCHLAND,JA,BADEN-WUERTTEMBERG,ALTE BUNDESLAENDER,MITTELSCHICHT,24.15,MANCHMAL,MANCHMAL,OFT,MANCHMAL,MANCHMAL,FAST NIE,NIE,FAST NIE,NIE,NIE,NIE,.._duplicated_9
39,MAENNLICH,49,VERHEIRAT.ZUSAM.LEB.,2000,2000 - 2249 EURO,1225,KEINER RELIGIONSGEM.,NA,NA,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,SONST.SELBSTAENDIGE,DEUTSCHLAND,JA,NORDRHEIN-WESTFALEN,ALTE BUNDESLAENDER,MITTELSCHICHT,29.65,OFT,OFT,MANCHMAL,MANCHMAL,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_6
40,WEIBLICH,37,VERHEIRAT.ZUSAM.LEB.,NA,NA,1476,KEINER RELIGIONSGEM.,NA,NA,HOCHSCHULREIFE,NICHT ERWERBSTAETIG,NA,EHEM. UDSSR,NEIN,BRANDENBURG,NEUE BUNDESLAENDER,MITTELSCHICHT,19.53,NIE,NIE,MANCHMAL,MANCHMAL,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_7
41,MAENNLICH,19,LEDIG,575,500 - 624 EURO,1100,ROEMISCH-KATHOLISCH,NA,NA,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,IN AUSBILDUNG,DEUTSCHLAND,JA,NORDRHEIN-WESTFALEN,ALTE BUNDESLAENDER,MITTELSCHICHT,21.95,IMMER,MANCHMAL,IMMER,OFT,FAST NIE,MANCHMAL,NIE,NIE,MANCHMAL,MANCHMAL,FAST NIE,.._duplicated_8
42,MAENNLICH,42,VERHEIRAT.ZUSAM.LEB.,5000,5000 - 7499 EURO,6667,KEINER RELIGIONSGEM.,ERWERBSTAETIG,ERWERBSTAETIG,HOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,NIEDERSACHSEN,ALTE BUNDESLAENDER,OBERE MITTELSCHICHT,22.24,MANCHMAL,NIE,MANCHMAL,FAST NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_8
43,WEIBLICH,52,GESCHIEDEN,NA,1125 - 1249 EURO,NA,ROEMISCH-KATHOLISCH,ERWERBSTAETIG,ERWERBSTAETIG,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,SONST.SELBSTAENDIGE,DEUTSCHLAND,JA,RHEINLAND-PFALZ,ALTE BUNDESLAENDER,ARBEITERSCHICHT,NA,OFT,MANCHMAL,OFT,OFT,MANCHMAL,MANCHMAL,MANCHMAL,FAST NIE,FAST NIE,FAST NIE,FAST NIE,.._duplicated_8
44,MAENNLICH,46,VERHEIRAT.ZUSAM.LEB.,2950,2750 - 2999 EURO,2667,KEINER RELIGIONSGEM.,ERWERBSTAETIG,ERWERBSTAETIG,FACHHOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,BRANDENBURG,NEUE BUNDESLAENDER,MITTELSCHICHT,28.37,OFT,MANCHMAL,MANCHMAL,OFT,FAST NIE,MANCHMAL,FAST NIE,FAST NIE,FAST NIE,FAST NIE,NIE,.._duplicated_8
45,WEIBLICH,64,GESCHIEDEN,1150,1125 - 1249 EURO,1150,ROEMISCH-KATHOLISCH,ERWERBSTAETIG,ERWERBSTAETIG,"VOLKS-,HAUPTSCHULE",HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,BAYERN,ALTE BUNDESLAENDER,ARBEITERSCHICHT,26.22,MANCHMAL,MANCHMAL,MANCHMAL,MANCHMAL,MANCHMAL,FAST NIE,FAST NIE,MANCHMAL,FAST NIE,FAST NIE,MANCHMAL,.._duplicated_8
46,WEIBLICH,23,LEDIG,700,625 - 749 EURO,1500,KEINER RELIGIONSGEM.,NA,NA,HOCHSCHULREIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,HAMBURG,ALTE BUNDESLAENDER,ARBEITERSCHICHT,21.41,MANCHMAL,FAST NIE,FAST NIE,MANCHMAL,NIE,MANCHMAL,NIE,NIE,FAST NIE,NIE,FAST NIE,.._duplicated_9
47,MAENNLICH,62,VERHEIRAT.ZUSAM.LEB.,2200,2000 - 2249 EURO,2000,EVANG.OHNE FREIKIRCH,NA,NA,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,SCHLESWIG-HOLSTEIN,ALTE BUNDESLAENDER,MITTELSCHICHT,29.98,IMMER,NIE,IMMER,IMMER,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_8
48,WEIBLICH,21,LEDIG,250,200 - 299 EURO,929,KEINER RELIGIONSGEM.,NA,NA,MITTLERE REIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,SACHSEN,NEUE BUNDESLAENDER,ARBEITERSCHICHT,19.53,OFT,MANCHMAL,MANCHMAL,MANCHMAL,FAST NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_3
49,WEIBLICH,40,VERHEIRAT.ZUSAM.LEB.,780,750 - 874 EURO,769,AND.NICHT-CHRISTLICH,NA,NA,MITTLERE REIFE,HAUPTBERUFL.HALBTAGS,ANGESTELLTER,TUERKEI,NEIN,NORDRHEIN-WESTFALEN,ALTE BUNDESLAENDER,MITTELSCHICHT,26.71,MANCHMAL,MANCHMAL,MANCHMAL,OFT,OFT,MANCHMAL,NIE,NIE,NIE,NIE,NIE,.._duplicated_6
50,WEIBLICH,89,LEDIG,NA,1125 - 1249 EURO,1188,EVANG.OHNE FREIKIRCH,NA,NA,"VOLKS-,HAUPTSCHULE",NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,NORDRHEIN-WESTFALEN,ALTE BUNDESLAENDER,ARBEITERSCHICHT,20.28,FAST NIE,NIE,OFT,MANCHMAL,MANCHMAL,MANCHMAL,FAST NIE,OFT,NIE,NIE,NIE,.._duplicated_7
51,WEIBLICH,21,LEDIG,950,875 - 999 EURO,1667,KEINER RELIGIONSGEM.,ERWERBSTAETIG,"SCHUELER, STUDENT",HOCHSCHULREIFE,NEBENHER BERUFSTAE.,NA,DEUTSCHLAND,JA,NIEDERSACHSEN,ALTE BUNDESLAENDER,MITTELSCHICHT,20.9,MANCHMAL,OFT,OFT,MANCHMAL,FAST NIE,MANCHMAL,NIE,NIE,MANCHMAL,MANCHMAL,NIE,.._duplicated_9
52,MAENNLICH,23,LEDIG,700,625 - 749 EURO,700,KEINER RELIGIONSGEM.,NA,NA,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,IN AUSBILDUNG,DEUTSCHLAND,JA,HAMBURG,ALTE BUNDESLAENDER,MITTELSCHICHT,22.2,OFT,MANCHMAL,FAST NIE,MANCHMAL,NIE,FAST NIE,NIE,NIE,FAST NIE,FAST NIE,FAST NIE,.._duplicated_6
53,MAENNLICH,47,VERHEIRAT.ZUSAM.LEB.,NA,1250 - 1374 EURO,875,KEINER RELIGIONSGEM.,NIE ERWERBSTAETIG,ERWERBSUNFAEHIG,OHNE ABSCHLUSS,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,BADEN-WUERTTEMBERG,ALTE BUNDESLAENDER,MITTELSCHICHT,26,NIE,NIE,MANCHMAL,MANCHMAL,MANCHMAL,NIE,MANCHMAL,MANCHMAL,FAST NIE,NIE,NIE,.._duplicated_7
54,MAENNLICH,70,GESCHIEDEN,2400,2250 - 2499 EURO,2400,EVANG.OHNE FREIKIRCH,FRUEHER ERWERBSTAETIG,ERWERBSTAETIG,HOCHSCHULREIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,BADEN-WUERTTEMBERG,ALTE BUNDESLAENDER,OBERE MITTELSCHICHT,23.52,NIE,MANCHMAL,OFT,MANCHMAL,OFT,FAST NIE,FAST NIE,FAST NIE,FAST NIE,FAST NIE,NIE,.._duplicated_7
55,WEIBLICH,55,LEDIG,1400,1375 - 1499 EURO,1667,KEINER RELIGIONSGEM.,ERWERBSTAETIG,ERWERBSTAETIG,MITTLERE REIFE,HAUPTBERUFL.HALBTAGS,ANGESTELLTER,DEUTSCHLAND,JA,BRANDENBURG,NEUE BUNDESLAENDER,MITTELSCHICHT,35.16,IMMER,OFT,MANCHMAL,MANCHMAL,MANCHMAL,MANCHMAL,MANCHMAL,MANCHMAL,OFT,OFT,OFT,.._duplicated_5
56,MAENNLICH,30,LEDIG,1500,1500 - 1749 EURO,1500,EVANG.OHNE FREIKIRCH,NA,NA,"VOLKS-,HAUPTSCHULE",HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,NORDRHEIN-WESTFALEN,ALTE BUNDESLAENDER,MITTELSCHICHT,27.36,FAST NIE,NIE,IMMER,OFT,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_8
